Nominal Diameter,No of strands,Cross section of conductor,Resistance at 20 °„C,,,Outer diameter unserved,,,,Outer diameter single served,,,,Outer diameter double served,,,,1 kg HF-Litzwire unserved,
,,,,,,,,,,,,,,,,,,,
,,,,,,Grade 1,,Grade 2,,Grade 1,,Grade 2,,Grade 1,,Grade 2,,Grade 1,Grade 2
,,,nom,min,max,min,max,min,max,min,max,min,max,min,max,min,max,Length,Length
[mm],#,[mm?],[Ohm/m],[Ohm/m],[Ohm/m],[mm],[mm],[mm],[mm],[mm],[mm],[mm],[mm],[mm],[mm],[mm],[mm],[m/kg],[m/kg]
0.02,10,0.0031,5.55,4.995,6.105,0.087,0.095,0.099,0.107,0.112,0.135,0.124,0.147,0.137,0.175,0.149,0.187,"33,344.48","31,689.48"
0.02,12,0.0038,4.655,4.1625,5.0875,0.095,0.104,0.108,0.177,0.12,0.144,0.133,0.157,0.145,0.184,0.158,0.197,"22,787.07","26,407.90"
0.02,16,0.005,3.4688,3.1219,3.8156,0.111,0.121,0.126,0.138,0.136,0.161,0.151,0.176,0.163,0.201,0.176,0.216,"20,840.30","19,805.93"
0.02,20,0.0063,2.775,2.4975,3.0525,0.125,0.136,0.142,0.153,0.15,0.176,0.176,0.193,0.175,0.216,0.192,0.233,"16,672.24","15,844.74"
0.02,30,0.0094,1.85,1.665,2.035,0.154,0.168,0.175,0.189,0.179,0.208,0.2,0.229,0.204,0.248,0.225,0.269,"11,114.83","10,583.16"
0.02,60,0.0188,0.9434,0.8488,1.0375,0.218,0.238,0.248,0.268,0.243,0.278,0.273,0.308,0.268,0.318,0.298,0.348,5557.41,5281.58
0.02,120,0.0377,0.4716,0.4244,0.5187,0.308,0.337,0.351,0.379,0.333,0.377,0.376,0.419,0.358,0.417,0.401,0.459,2778.71,2640.79
0.02,180,0.0565,0.3204,0.2884,0.3525,0.378,0.412,0.429,0.464,0.403,0.452,0.454,0.504,0.428,0.492,0.479,0.544,1852.47,1760.53
0.02,200,0.0628,0.2829,0.2546,0.3112,0.398,0.434,0.453,0.489,0.423,0.474,0.478,0.529,0.448,0.514,0.503,0.569,1667.22,1584.47
0.02,270,0.0848,0.2136,0.1923,0.235,0.463,0.505,0.526,0.568,0.488,0.545,0.551,0.608,0.513,0.585,0.576,0.648,1234.98,1173.68
0.02,600,0.1885,0.0961,0.0865,0.1057,0.69,0.752,0.784,0.847,0.715,0.792,0.809,0.887,0.74,0.832,0.834,0.927,555.74,528.16
0.02,800,0.2513,0.0721,0.0649,0.0793,0.796,0.869,0.905,0.978,0.821,0.909,0.93,1.018,0.846,0.949,0.955,1.058,416.81,396.12
0.02,1000,0.3142,0.0577,0.0519,0.0634,0.89,0.971,1.012,1.093,0.915,1.011,1.037,1.133,0.94,1.051,1.062,1.173,333.44,316.89
0.03,10,0.0071,2.4667,2.22,2.7133,0.13,0.146,0.15,0.162,0.155,0.186,0.175,0.202,0.18,0.226,0.2,0.242,"14,738.90","14,001.74"
0.03,12,0.0085,2.0556,1.85,2.2611,0.143,0.16,0.165,0.178,0.168,0.2,0.19,0.218,0.193,0.24,0.215,0.258,"12,282.41","11,668.12"
0.03,16,0.0113,1.5417,1.3875,1.6958,0.168,0.186,0.192,0.207,0.191,0.226,0.217,0.247,0.216,0.266,0.242,0.287,9211.81,8751.09
0.03,20,0.0141,1.2333,1.11,1.3567,0.187,0.21,0.216,0.233,0.212,0.25,0.241,0.273,0.237,0.29,0.266,0.313,7369.45,7000.87
0.03,30,0.0212,0.8222,0.74,0.9044,0.231,0.259,0.266,0.287,0.256,0.299,0.291,0.327,0.281,0.339,0.316,0.367,4912.97,4667.25
0.03,60,0.0424,0.4192,0.3773,0.4611,0.327,0.367,0.377,0.407,0.352,0.407,0.402,0.447,0.377,0.447,0.427,0.487,2456.48,2333.62
0.03,90,0.0636,0.2794,0.2515,0.3074,0.401,0.449,0.461,0.498,0.426,0.489,0.486,0.538,0.451,0.529,0.511,0.578,1637.66,1555.75
0.03,120,0.0848,0.2096,0.1886,0.2305,0.463,0.519,0.533,0.575,0.488,0.559,0.558,0.615,0.513,0.599,0.583,0.655,1228.24,1166.81
0.03,180,0.1272,0.1424,0.1282,0.1567,0.567,0.635,0.653,0.704,0.592,0.675,0.678,0.744,0.617,0.715,0.703,0.784,818.83,777.87
0.03,200,0.1414,0.1258,0.1132,0.1383,0.597,0.67,0.688,0.742,0.622,0.71,0.713,0.782,0.647,0.75,0.738,0.822,736.94,700.09
0.03,270,0.1909,0.0949,0.0854,0.1044,0.694,0.778,0.799,0.862,0.719,0.818,0.824,0.902,0.744,0.858,0.849,0.942,545.89,518.58
0.03,600,0.4241,0.0427,0.0385,0.047,1.035,1.16,1.191,1.285,1.06,1.2,1.216,1.325,1.085,1.24,1.241,1.365,245.65,233.36
0.03,800,0.5655,0.032,0.0288,0.0352,1.195,1.34,1.376,1.484,1.22,1.38,1.401,1.524,1.245,1.42,1.426,1.564,184.24,175.02
0.03,1000,0.7069,0.0256,0.0231,0.0282,1.336,1.498,1.538,1.66,1.361,1.538,1.563,1.7,1.386,1.578,1.588,1.74,147.39,140.02
0.04,4,0.005,3.4688,3.1322,3.8051,0.11,0.123,0.125,0.135,0.135,0.163,0.15,0.175,0.16,0.203,0.175,0.215,"20,755.04","19,805.93"
0.04,8,0.0101,1.7344,1.5661,1.9026,0.156,0.173,0.177,0.191,0.181,0.213,0.202,0.231,0.206,0.253,0.227,0.271,"10,377.52",9902.96
0.04,10,0.0126,1.3875,1.2529,1.522,0.174,0.194,0.198,0.213,0.199,0.234,0.223,0.253,0.224,0.274,0.248,0.293,8302.02,7922.37
0.04,15,0.0188,0.925,0.8352,1.0147,0.215,0.239,0.244,0.264,0.24,0.279,0.269,0.304,0.265,0.319,0.294,0.344,5534.68,5281.58
0.04,20,0.0251,0.6938,0.6264,0.761,0.25,0.279,0.284,0.307,0.275,0.318,0.309,0.347,0.3,0.358,0.334,0.387,4151.01,3961.19
0.04,25,0.0314,0.555,0.5011,0.6088,0.282,0.314,0.32,0.346,0.307,0.354,0.345,0.386,0.332,0.394,0.37,0.426,3320.81,3168.95
0.04,30,0.0377,0.4625,0.4176,0.5073,0.308,0.344,0.351,0.379,0.333,0.384,0.376,0.419,0.358,0.424,0.401,0.459,2767.34,2640.79
0.04,35,0.044,0.3964,0.358,0.4349,0.333,0.371,0.379,0.409,0.358,0.411,0.404,0.449,0.383,0.451,0.429,0.489,2372,2263.53
0.04,45,0.0565,0.3083,0.2784,0.3382,0.378,0.421,0.429,0.464,0.403,0.461,0.454,0.504,0.428,0.501,0.479,0.544,1844.89,1760.53
0.04,60,0.0754,0.2358,0.2129,0.2586,0.436,0.486,0.496,0.535,0.461,0.526,0.521,0.575,0.486,0.566,0.546,0.615,1383.67,1320.4
0.04,75,0.0942,0.1886,0.1703,0.2069,0.488,0.543,0.554,0.599,0.513,0.583,0.579,0.639,0.538,0.623,0.604,0.679,1106.94,1056.32
0.04,90,0.1131,0.1572,0.1419,0.1724,0.534,0.595,0.607,0.656,0.559,0.635,0.632,0.696,0.584,0.675,0.657,0.736,922.45,880.26
0.04,105,0.1319,0.1347,0.1217,0.1478,0.577,0.643,0.656,0.708,0.602,0.683,0.681,0.748,0.627,0.723,0.706,0.788,790.67,754.51
0.04,180,0.2262,0.0801,0.0723,0.0879,0.756,0.841,0.859,0.927,0.781,0.881,0.884,0.967,0.806,0.921,0.909,1.007,461.22,440.13
0.04,225,0.2827,0.0641,0.0579,0.0703,0.845,0.941,0.96,1.037,0.87,0.981,0.985,1.077,0.895,1.021,1.01,1.117,368.98,352.11
0.04,270,0.3393,0.0534,0.0482,0.0586,0.925,1.031,1.052,1.136,0.95,1.071,1.077,1.176,0.975,1.111,1.102,1.216,307.48,293.42
0.04,600,0.754,0.024,0.0217,0.0264,1.38,1.536,1.568,1.693,1.405,1.576,1.593,1.733,1.43,1.616,1.618,1.773,138.37,132.04
0.04,800,1.0053,0.018,0.0163,0.0198,1.593,1.774,1.81,1.955,1.618,1.814,1.835,1.995,1.643,1.854,1.86,2.035,103.78,99.03
0.04,1000,1.2566,0.0144,0.013,0.0158,1.781,1.983,2.024,2.186,1.806,2.023,2.049,2.226,1.831,2.063,2.074,2.266,83.02,79.22
0.05,4,0.0079,2.22,2.0202,2.4198,0.138,0.15,0.153,0.165,0.163,0.19,0.178,0.205,0.188,0.23,0.203,0.245,"13,337.79","12,809.17"
0.05,8,0.0157,1.11,1.0101,1.2099,0.194,0.212,0.216,0.233,0.219,0.252,0.241,0.273,0.244,0.292,0.266,0.313,6668.9,6404.59
0.05,10,0.0196,0.888,0.8081,0.9679,0.217,0.237,0.241,0.261,0.242,0.277,0.266,0.301,0.267,0.317,0.291,0.341,5335.12,5123.67
0.05,15,0.0295,0.592,0.5387,0.6453,0.268,0.293,0.298,0.322,0.293,0.333,0.323,0.362,0.318,0.373,0.348,0.402,3556.74,3415.78
0.05,20,0.0393,0.444,0.404,0.484,0.312,0.341,0.346,0.375,0.337,0.381,0.371,0.415,0.362,0.421,0.396,0.455,2667.56,2561.83
0.05,25,0.0491,0.3552,0.3232,0.3872,0.352,0.384,0.39,0.422,0.377,0.424,0.415,0.462,0.402,0.464,0.44,0.502,2134.05,2049.47
0.05,30,0.0589,0.296,0.2694,0.3226,0.386,0.421,0.428,0.463,0.411,0.461,0.453,0.503,0.436,0.501,0.478,0.543,1778.37,1707.89
0.05,35,0.0687,0.2537,0.2309,0.2765,0.416,0.454,0.462,0.5,0.441,0.494,0.487,0.54,0.466,0.534,0.512,0.58,1524.32,1463.91
0.05,45,0.0884,0.1973,0.1796,0.2151,0.472,0.515,0.524,0.567,0.497,0.555,0.549,0.607,0.522,0.595,0.574,0.647,1185.58,1138.59
0.05,60,0.1178,0.1509,0.1373,0.1645,0.545,0.595,0.605,0.654,0.57,0.635,0.63,0.694,0.595,0.675,0.655,0.734,889.19,853.94
0.05,75,0.1473,0.1207,0.1099,0.1316,0.61,0.665,0.676,0.732,0.635,0.705,0.701,0.772,0.66,0.745,0.726,0.812,711.35,683.16
0.05,90,0.1767,0.1006,0.0915,0.1097,0.668,0.729,0.741,0.801,0.693,0.769,0.766,0.841,0.718,0.809,0.791,0.881,592.79,569.3
0.05,105,0.2062,0.0862,0.0785,0.094,0.721,0.787,0.8,0.866,0.746,0.827,0.825,0.906,0.771,0.867,0.85,0.946,508.11,487.97
0.05,180,0.3534,0.0513,0.0467,0.0559,0.945,1.03,1.048,1.133,0.97,1.07,1.073,1.173,0.995,1.11,1.098,1.213,296.4,284.65
0.05,225,0.4418,0.041,0.0373,0.0447,1.056,1.152,1.171,1.267,1.081,1.192,1.196,1.307,1.106,1.232,1.221,1.347,237.12,227.72
0.05,270,0.5301,0.0342,0.0311,0.0373,1.157,1.262,1.283,1.388,1.182,1.302,1.308,1.428,1.207,1.342,1.333,1.468,197.6,189.77
0.05,600,1.1781,0.0154,0.014,0.0168,1.724,1.881,1.913,2.069,1.749,1.921,1.938,2.109,1.774,1.961,1.963,2.149,88.92,85.39
0.05,800,1.5708,0.0115,0.0105,0.0126,1.991,2.172,2.208,2.389,2.016,2.212,2.233,2.429,2.041,2.252,2.258,2.469,66.69,64.05
0.05,1000,1.9635,0.0092,0.0084,0.0101,2.226,2.429,2.469,2.671,2.251,2.469,2.494,2.711,2.276,2.509,2.519,2.751,53.35,51.24
0.071,4,0.0158,1.101,1.0049,1.2106,0.195,0.21,0.213,0.228,0.22,0.25,0.238,0.268,0.245,0.29,0.263,0.308,6634.43,6419.69
0.071,8,0.0317,0.5505,0.5025,0.6053,0.276,0.297,0.301,0.322,0.301,0.337,0.326,0.362,0.326,0.377,0.351,0.402,3317.21,3209.85
0.071,10,0.0396,0.4404,0.402,0.4842,0.308,0.332,0.336,0.36,0.333,0.372,0.361,0.4,0.358,0.412,0.386,0.44,2653.77,2567.88
0.071,15,0.0594,0.2936,0.268,0.3228,0.381,0.41,0.415,0.444,0.406,0.45,0.44,0.484,0.431,0.49,0.465,0.524,1769.18,1711.92
0.071,20,0.0792,0.2202,0.201,0.2421,0.443,0.477,0.483,0.517,0.468,0.517,0.508,0.567,0.493,0.557,0.533,0.597,1326.89,1283.94
0.071,25,0.099,0.1762,0.1608,0.1937,0.499,0.538,0.544,0.582,0.524,0.578,0.569,0.622,0.549,0.618,0.594,0.662,1061.51,1027.15
0.071,30,0.1188,0.1468,0.134,0.1614,0.547,0.589,0.596,0.638,0.572,0.629,0.621,0.678,0.597,0.669,0.646,0.718,884.59,855.96
0.071,35,0.1386,0.1258,0.1148,0.1384,0.591,0.636,0.644,0.689,0.616,0.676,0.669,0.729,0.641,0.716,0.694,0.769,758.22,733.68
0.071,45,0.1782,0.0979,0.0893,0.1076,0.67,0.721,0.73,0.781,0.695,0.761,0.755,0.821,0.72,0.801,0.78,0.861,589.73,570.64
0.071,60,0.2376,0.0748,0.0683,0.0823,0.773,0.833,0.843,0.902,0.798,0.873,0.868,0.942,0.823,0.913,0.893,0.982,442.3,427.98
0.071,75,0.2969,0.0699,0.0546,0.0658,0.865,0.931,0.942,1.009,0.89,0.971,0.967,1.049,0.915,1.011,0.992,1.089,353.84,342.38
0.071,90,0.3563,0.0499,0.0455,0.0549,0.947,1.02,1.032,1.105,0.972,1.06,1.057,1.145,0.997,1.1,1.082,1.185,294.86,285.32
0.071,105,0.4157,0.0428,0.039,0.047,1.023,1.102,1.115,1.194,1.048,1.142,1.14,1.234,1.073,1.182,1.165,1.274,252.74,244.56
0.071,135,0.5345,0.0333,0.0304,0.0366,1.16,1.249,1.264,1.353,1.185,1.289,1.289,1.393,1.21,1.329,1.314,1.433,196.58,190.21
0.071,180,0.7127,0.0254,0.0232,0.028,1.339,1.443,1.46,1.563,1.364,1.483,1.485,1.603,1.389,1.523,1.51,1.643,147.43,142.66
0.071,225,0.8908,0.0203,0.0186,0.0224,1.498,1.613,1.632,1.747,1.523,1.653,1.657,1.787,1.548,1.693,1.682,1.827,117.95,114.13
0.071,270,1.069,0.017,0.0155,0.0186,1.641,1.767,1.788,1.914,1.666,1.807,1.813,1.954,1.691,1.847,1.838,1.994,98.29,95.11
0.071,600,2.3755,0.0076,0.007,0.0084,2.446,2.634,2.665,2.853,2.471,2.674,2.69,2.893,2.496,2.714,2.715,2.933,44.23,42.8
0.071,800,3.1674,0.0057,0.0052,0.0063,2.824,3.041,3.077,3.295,2.849,3.081,3.102,3.335,2.874,3.121,3.127,3.375,33.17,32.1
0.071,1000,3.9592,0.0046,0.0042,0.005,3.157,3.4,3.441,3.683,3.182,3.44,3.466,3.723,3.207,3.48,3.491,3.763,26.54,25.68
0.08,4,0.0201,0.8672,0.7988,0.9441,0.218,0.235,0.238,0.253,0.243,0.275,0.263,0.293,0.268,0.315,0.288,0.333,5241.94,5081.45
0.08,8,0.0402,0.4336,0.3994,0.4721,0.308,0.332,0.336,0.357,0.333,0.372,0.361,0.397,0.358,0.412,0.386,0.437,2620.97,2540.72
0.08,10,0.0503,0.3469,0.3195,0.3777,0.344,0.372,0.376,0.399,0.369,0.412,0.401,0.439,0.394,0.452,0.426,0.479,2096.78,2032.58
0.08,15,0.0754,0.2312,0.213,0.2518,0.425,0.459,0.464,0.493,0.45,0.499,0.489,0.533,0.475,0.539,0.514,0.573,1397.85,1355.05
0.08,20,0.1005,0.1734,0.1598,0.1888,0.494,0.534,0.54,0.574,0.519,0.574,0.565,0.614,0.544,0.614,0.59,0.654,1048.39,1016.29
0.08,25,0.1257,0.1387,0.1278,0.1511,0.557,0.602,0.608,0.646,0.582,0.642,0.633,0.686,0.607,0.682,0.658,0.726,838.71,813.03
0.08,30,0.1508,0.1156,0.1065,0.1259,0.61,0.659,0.666,0.708,0.635,0.699,0.691,0.748,0.66,0.739,0.716,0.788,698.93,677.53
0.08,35,0.1759,0.0991,0.0913,0.1079,0.659,0.712,0.719,0.765,0.684,0.752,0.744,0.805,0.709,0.792,0.769,0.845,599.08,580.74
0.08,45,0.2262,0.0771,0.071,0.0839,0.747,0.807,0.816,0.867,0.772,0.847,0.841,0.907,0.797,0.887,0.866,0.947,465.95,451.68
0.08,60,0.3016,0.0589,0.0543,0.0642,0.863,0.932,0.942,1.001,0.888,0.972,0.967,1.041,0.913,1.012,0.992,1.081,349.46,338.78
0.08,75,0.377,0.0472,0.0434,0.0513,0.964,1.042,1.053,1.12,0.989,1.082,1.078,1.16,1.014,1.122,1.103,1.2,279.57,271.01
0.08,90,0.4524,0.0393,0.0362,0.0428,1.056,1.141,1.154,1.226,1.081,1.181,1.179,1.266,1.106,1.221,1.204,1.306,232.98,225.84
0.08,105,0.5278,0.0337,0.031,0.0367,1.141,1.233,1.246,1.325,1.166,1.273,1.271,1.365,1.191,1.313,1.296,1.405,199.69,193.58
0.08,180,0.9048,0.02,0.0184,0.0218,1.494,1.614,1.631,1.734,1.519,1.654,1.656,1.774,1.544,1.694,1.681,1.814,116.49,112.92
0.08,225,1.131,0.016,0.0148,0.0174,1.67,1.805,1.824,1.939,1.695,1.845,1.849,1.979,1.72,1.885,1.874,2.019,93.19,90.34
0.08,270,1.3572,0.0134,0.0123,0.0145,1.83,1.977,1.998,2.124,1.855,2.017,2.023,2.164,1.88,2.057,2.048,2.204,77.66,75.28
0.08,600,3.0159,0.006,0.0055,0.0065,2.728,2.947,2.979,3.167,2.753,2.987,3.004,3.207,2.778,3.027,3.029,3.247,34.95,33.88
0.08,800,4.0212,0.0045,0.0042,0.0049,3.15,3.403,3.439,3.657,3.175,3.443,3.464,3.697,3.2,3.483,3.489,3.737,26.21,25.41
0.08,1000,5.0265,0.0036,0.0033,0.0039,3.522,3.805,3.845,4.088,3.547,3.845,3.87,4.128,3.572,3.885,3.895,4.168,20.97,20.33
0.1,4,0.0314,0.555,0.5187,0.5949,0.27,0.293,0.295,0.313,0.295,0.333,0.32,0.353,0.32,0.373,0.345,0.393,3361.62,3263.16
0.1,8,0.0628,0.2775,0.2594,0.2975,0.382,0.414,0.417,0.442,0.407,0.454,0.442,0.482,0.432,0.494,0.467,0.522,1680.81,1631.58
0.1,10,0.0785,0.222,0.2075,0.238,0.427,0.462,0.466,0.494,0.452,0.502,0.491,0.534,0.477,0.542,0.516,0.574,1344.65,1305.26
0.1,15,0.1178,0.148,0.1383,0.1587,0.527,0.571,0.576,0.61,0.552,0.611,0.601,0.65,0.577,0.651,0.626,0.69,896.43,870.18
0.1,20,0.1571,0.111,0.1037,0.119,0.613,0.665,0.67,0.71,0.638,0.705,0.695,0.75,0.663,0.745,0.72,0.79,672.32,652.63
0.1,25,0.1963,0.0888,0.083,0.0952,0.691,0.749,0.755,0.8,0.716,0.789,0.78,0.84,0.741,0.829,0.805,0.88,537.86,522.11
0.1,30,0.2356,0.074,0.0692,0.0793,0.757,0.82,0.827,0.876,0.782,0.86,0.852,0.916,0.807,0.9,0.877,0.956,448.22,435.09
0.1,35,0.2749,0.0634,0.0593,0.068,0.818,0.886,0.894,0.947,0.843,0.926,0.919,0.987,0.868,0.966,0.944,1.027,384.18,372.93
0.1,40,0.3142,0.0555,0.0519,0.0595,0.874,0.947,0.955,1.012,0.899,0.987,0.98,1.052,0.924,1.027,1.005,1.092,336.16,326.32
0.1,45,0.3534,0.0493,0.0461,0.0529,0.927,1.005,1.013,1.073,0.952,1.045,1.038,1.113,0.977,1.085,1.063,1.153,298.81,290.06
0.1,60,0.4712,0.0377,0.0353,0.0404,1.071,1.16,1.17,1.239,1.096,1.2,1.195,1.279,1.121,1.24,1.22,1.319,224.11,217.54
0.1,75,0.589,0.0302,0.0282,0.0324,1.197,1.297,1.308,1.386,1.222,1.337,1.333,1.426,1.247,1.377,1.358,1.466,179.29,174.04
0.1,90,0.7069,0.0252,0.0235,0.027,1.311,1.421,1.433,1.518,1.336,1.461,1.458,1.558,1.361,1.501,1.483,1.598,149.41,145.03
0.1,105,0.8247,0.0216,0.0201,0.0231,1.417,1.535,1.548,1.64,1.442,1.575,1.573,1.68,1.467,1.615,1.598,1.72,128.06,124.31
0.1,120,0.9425,0.0189,0.0176,0.0202,1.514,1.641,1.655,1.753,1.539,1.681,1.68,1.793,1.564,1.721,1.705,1.833,112.05,108.77
0.1,160,1.2566,0.0141,0.0132,0.0152,1.749,1.894,1.911,2.024,1.774,1.934,1.936,2.064,1.799,1.974,1.961,2.104,84.04,81.58
0.1,180,1.4137,0.0126,0.0118,0.0135,1.855,2.009,2.026,2.147,1.88,2.049,2.051,2.187,1.905,2.089,2.076,2.227,74.7,72.51
0.1,200,1.5708,0.0113,0.0106,0.0121,1.955,2.118,2.136,2.263,1.98,2.158,2.161,2.303,2.005,2.198,2.186,2.343,67.23,65.26
0.1,225,1.7671,0.0103,0.0096,0.011,2.074,2.246,2.266,2.4,2.099,2.286,2.291,2.44,2.124,2.326,2.316,2.48,59.76,58.01
