Nominal Diameter,No of strands,Cross section of conductor,Resistance at 20 °„C,,,Outer diameter unserved,,,,Outer diameter single served,,,,Outer diameter double served,,,,1 kg HF-Litzwire unserved,
0.1,270,2.1206,0.0085,0.008,0.0092,2.272,2.461,2.482,2.629,2.297,2.501,2.507,2.669,2.322,2.541,2.532,2.709,49.8,48.34
0.1,600,4.7124,0.0038,0.0036,0.0041,3.386,3.668,3.7,3.919,3.411,3.708,3.725,3.959,3.436,3.748,3.75,3.999,22.41,21.75
0.1,800,6.2832,0.0029,0.0027,0.0031,3.91,4.236,4.272,4.525,3.935,4.276,4.297,4.565,3.96,4.316,4.322,4.605,16.81,16.32
0.12,4,0.0452,0.3853,0.3636,0.409,0.325,0.345,0.348,0.37,0.35,0.385,0.373,0.41,0.375,0.425,0.398,0.45,2340.72,2280.74
0.12,8,0.0905,0.1927,0.1818,0.2045,0.46,0.488,0.491,0.523,0.485,0.528,0.516,0.563,0.51,0.568,0.541,0.603,1170.36,1140.37
0.12,10,0.1131,0.1541,0.1455,0.1636,0.514,0.545,0.549,0.585,0.539,0.585,0.574,0.625,0.564,0.625,0.599,0.665,936.29,912.3
0.12,15,0.1696,0.1027,0.097,0.1091,0.634,0.673,0.678,0.722,0.659,0.713,0.703,0.762,0.684,0.753,0.728,0.802,624.19,608.2
0.12,20,0.2262,0.0771,0.0727,0.0818,0.738,0.784,0.789,0.841,0.763,0.824,0.814,0.881,0.788,0.864,0.839,0.921,468.14,456.15
0.12,25,0.2827,0.0616,0.0582,0.0654,0.832,0.883,0.89,0.947,0.857,0.923,0.915,0.987,0.882,0.963,0.94,1.027,374.52,364.92
0.12,30,0.3393,0.0514,0.0485,0.0545,0.911,0.967,0.975,1.038,0.936,1.007,1,1.078,0.961,1.047,1.025,1.118,312.1,304.1
0.12,35,0.3958,0.044,0.0416,0.0467,0.984,1.045,1.053,1.121,1.009,1.085,1.078,1.161,1.034,1.125,1.103,1.201,267.51,260.66
0.12,45,0.5089,0.0342,0.0323,0.0364,1.116,1.185,1.194,1.271,1.141,1.225,1.219,1.311,1.166,1.265,1.244,1.351,208.06,202.73
0.12,60,0.6786,0.0262,0.0247,0.0278,1.289,1.368,1.378,1.467,1.314,1.408,1.403,1.507,1.339,1.448,1.428,1.547,156.05,152.05
0.12,75,0.8482,0.021,0.0198,0.0222,1.441,1.53,1.541,1.641,1.466,1.57,1.566,1.681,1.491,1.61,1.591,1.721,124.84,121.64
0.12,90,1.0179,0.0175,0.0165,0.0185,1.579,1.676,1.688,1.797,1.604,1.716,1.713,1.837,1.629,1.756,1.738,1.877,104.03,101.37
0.12,105,1.1875,0.015,0.0141,0.0159,1.705,1.81,1.823,1.941,1.73,1.85,1.848,1.981,1.755,1.89,1.873,2.021,89.17,86.89
0.12,180,2.0358,0.0087,0.0082,0.0093,2.232,2.37,2.387,2.542,2.257,2.41,2.412,2.582,2.282,2.45,2.437,2.622,52.02,50.68
0.12,225,2.5447,0.0071,0.0067,0.0076,2.496,2.65,2.669,2.842,2.521,2.69,2.694,2.882,2.546,2.73,2.719,2.922,41.61,40.55
0.12,270,3.0536,0.0059,0.0056,0.0063,2.734,2.902,2.924,3.113,2.759,2.942,2.949,3.153,2.784,2.982,2.974,3.193,34.68,33.79
0.12,600,6.7858,0.0027,0.0025,0.0028,4.076,4.327,4.358,4.64,4.101,4.367,4.383,4.68,4.126,4.407,4.408,4.72,15.6,15.2
0.14,4,0.0616,0.2832,0.2691,0.2982,0.378,0.4,0.403,0.428,0.403,0.44,0.428,0.468,0.428,0.48,0.453,0.508,1723,1681.32
0.14,10,0.1539,0.1133,0.1076,0.1193,0.597,0.632,0.636,0.676,0.622,0.672,0.661,0.716,0.647,0.712,0.686,0.756,689.2,672.53
0.14,20,0.3079,0.0566,0.0538,0.0596,0.858,0.909,0.914,0.971,0.883,0.949,0.939,1.011,0.908,0.989,0.964,1.051,344.6,336.26
0.14,30,0.4618,0.0378,0.0359,0.0398,1.059,1.122,1.129,1.199,1.084,1.162,1.154,1.239,1.109,1.202,1.179,1.279,229.73,224.18
0.14,45,0.6927,0.0252,0.0239,0.0265,1.297,1.374,1.382,1.468,1.322,1.414,1.407,1.508,1.347,1.454,1.432,1.548,153.16,149.45
0.14,60,0.9236,0.0192,0.0183,0.0203,1.497,1.586,1.596,1.695,1.522,1.626,1.621,1.735,1.547,1.666,1.646,1.775,114.87,112.09
0.14,75,1.1545,0.0154,0.0146,0.0162,1.674,1.774,1.785,1.896,1.699,1.814,1.81,1.936,1.724,1.854,1.835,1.976,91.89,89.67
0.14,90,1.3854,0.0128,0.0122,0.0135,1.834,1.943,1.955,2.076,1.859,1.983,1.98,2.116,1.884,2.023,2.005,2.156,76.58,74.73
0.14,100,1.5394,0.0115,0.011,0.0122,1.933,2.048,2.061,2.189,1.958,2.088,2.086,2.229,1.983,2.128,2.111,2.269,68.92,67.25
0.14,120,1.8473,0.0096,0.0091,0.0101,2.117,2.243,2.257,2.398,2.142,2.283,2.282,2.438,2.167,2.323,2.307,2.478,57.43,56.04
0.14,150,2.3091,0.0077,0.0073,0.0081,2.367,2.508,2.524,2.681,2.392,2.548,2.549,2.721,2.417,2.588,2.574,2.761,45.95,44.84
0.14,200,3.0788,0.0058,0.0055,0.0061,2.733,2.896,2.914,3.095,2.758,2.936,2.939,3.135,2.783,2.976,2.964,3.175,34.46,33.63
0.14,225,3.4636,0.0052,0.005,0.0055,2.899,3.072,3.091,3.283,2.924,3.112,3.116,3.323,2.949,3.152,3.141,3.363,30.63,29.89
0.14,270,4.1563,0.0044,0.0041,0.0046,3.176,3.365,3.386,3.597,3.201,3.405,3.411,3.637,3.226,3.445,3.436,3.677,25.53,24.91
0.15,4,0.0707,0.2467,0.2351,0.2591,0.405,0.428,0.43,0.455,0.43,0.468,0.455,0.495,0.455,0.508,0.48,0.535,1501.26,1467.4
0.15,10,0.1767,0.0987,0.094,0.1036,0.64,0.676,0.68,0.719,0.665,0.716,0.705,0.759,0.69,0.756,0.73,0.799,600.51,586.96
0.15,20,0.3534,0.0493,0.047,0.0518,0.92,0.971,0.977,1.034,0.945,1.011,1.002,1.074,0.97,1.051,1.027,1.114,300.25,293.48
0.15,30,0.5301,0.0329,0.0313,0.0345,1.136,1.199,1.206,1.276,1.161,1.239,1.231,1.316,1.186,1.279,1.256,1.356,200.17,195.65
0.15,45,0.7952,0.0219,0.0209,0.023,1.391,1.468,1.477,1.563,1.416,1.508,1.502,1.603,1.441,1.548,1.527,1.643,133.45,130.44
0.15,60,1.0603,0.0168,0.016,0.0176,1.606,1.695,1.705,1.805,1.631,1.735,1.73,1.845,1.656,1.775,1.755,1.885,100.08,97.83
0.15,75,1.3254,0.0134,0.0128,0.0141,1.796,1.896,1.907,2.017,1.821,1.936,1.932,2.057,1.846,1.976,1.957,2.097,80.07,78.26
0.15,90,1.5904,0.0112,0.0107,0.0117,1.967,2.076,2.089,2.21,1.992,2.116,2.114,2.25,2.017,2.156,2.139,2.29,66.72,65.22
0.15,100,1.7671,0.0101,0.0096,0.0106,2.074,2.189,2.202,2.33,2.099,2.229,2.227,2.37,2.124,2.269,2.252,2.41,60.05,58.7
0.15,120,2.1206,0.0084,0.008,0.0088,2.272,2.398,2.412,2.552,2.297,2.438,2.437,2.592,2.322,2.478,2.462,2.632,50.04,48.91
0.15,150,2.6507,0.0067,0.0064,0.007,2.54,2.681,2.696,2.853,2.565,2.721,2.721,2.893,2.59,2.761,2.746,2.933,40.03,39.13
0.15,200,3.5343,0.005,0.0048,0.0053,2.933,3.095,3.114,3.295,2.958,3.135,3.139,3.335,2.983,3.175,3.164,3.375,30.03,29.35
0.15,225,3.9761,0.0046,0.0043,0.0048,3.11,3.283,3.302,3.494,3.135,3.323,3.327,3.534,3.16,3.363,3.352,3.574,26.69,26.09
0.15,270,4.7713,0.0038,0.0036,0.004,3.407,3.597,3.618,3.828,3.432,3.637,3.643,3.868,3.457,3.677,3.668,3.908,22.24,21.74
0.16,4,0.0804,0.2168,0.2071,0.2271,0.43,0.455,0.458,0.485,0.455,0.495,0.483,0.525,0.48,0.535,0.508,0.565,1321.05,1290.51
0.16,10,0.2011,0.0867,0.0828,0.0908,0.68,0.719,0.723,0.767,0.705,0.759,0.748,0.807,0.73,0.799,0.773,0.847,528.42,516.2
0.16,20,0.4021,0.0434,0.0414,0.0454,0.977,1.034,1.039,1.102,1.002,1.074,1.064,1.142,1.027,1.114,1.089,1.182,264.21,258.1
0.16,30,0.6032,0.0289,0.0276,0.0303,1.206,1.276,1.283,1.36,1.231,1.316,1.308,1.4,1.256,1.356,1.333,1.44,176.14,172.07
0.16,45,0.9048,0.0193,0.0184,0.0202,1.477,1.563,1.571,1.666,1.502,1.603,1.596,1.706,1.527,1.643,1.621,1.746,117.43,114.71
0.16,60,1.2064,0.0147,0.0141,0.0154,1.705,1.805,1.814,1.923,1.73,1.845,1.839,1.963,1.755,1.885,1.864,2.003,88.07,86.03
0.16,75,1.508,0.0118,0.0113,0.0123,1.907,2.017,2.029,2.151,1.932,2.057,2.054,2.191,1.957,2.097,2.079,2.231,70.46,68.83
0.16,90,1.8096,0.0098,0.0094,0.0103,2.089,2.21,2.222,2.356,2.114,2.25,2.247,2.396,2.139,2.29,2.272,2.436,58.71,57.36
0.16,100,2.0106,0.0088,0.0084,0.0093,2.202,2.33,2.342,2.483,2.227,2.37,2.367,2.523,2.252,2.41,2.392,2.563,52.84,51.62
0.16,120,2.4127,0.0074,0.007,0.0077,2.412,2.552,2.2566,2.72,2.437,2.592,2.591,2.76,2.462,2.632,2.616,2.8,44.04,43.02
0.16,150,3.0159,0.0059,0.0056,0.0062,2.696,2.853,2.869,3.041,2.721,2.893,2.894,3.081,2.746,2.933,2.919,3.121,35.23,34.41
0.16,200,4.0212,0.0044,0.0042,0.0046,3.114,3.295,3.313,3.512,3.139,3.335,3.338,3.552,3.164,3.375,3.363,3.592,26.42,25.81
0.16,225,4.5239,0.004,0.0038,0.0042,3.302,3.494,3.514,3.725,3.327,3.534,3.539,3.765,3.352,3.574,3.564,3.805,23.49,22.94
0.16,270,5.4287,0.0033,0.0032,0.0035,3.618,3.828,3.849,4.08,3.643,3.868,3.874,4.12,3.668,3.908,3.899,4.16,19.57,19.12
0.18,4,0.1018,0.1713,0.1643,0.1787,0.483,0.51,0.513,0.543,0.508,0.55,0.538,0.583,0.533,0.59,0.563,0.623,1044.95,1021.66
0.18,5,0.1272,0.137,0.1315,0.1429,0.539,0.57,0.573,0.607,0.564,0.61,0.598,0.647,0.589,0.65,0.623,0.687,835.96,817.33
0.18,10,0.2545,0.0685,0.0657,0.0715,0.763,0.806,0.81,0.858,0.788,0.846,0.835,0.898,0.813,0.886,0.86,0.938,417.98,408.33
0.18,20,0.5089,0.0343,0.0329,0.0357,1.096,1.159,1.164,1.232,1.121,1.199,1.189,1.272,1.146,1.239,1.214,1.312,208.99,204.33
0.18,30,0.7634,0.0228,0.0219,0.0238,1.353,1.43,1.437,1.521,1.378,1.47,1.462,1.561,1.403,1.51,1.487,1.601,139.33,136.22
0.18,45,1.1451,0.0152,0.0146,0.0159,1.657,1.752,1.76,1.863,1.682,1.792,1.785,1.903,1.707,1.832,1.81,1.943,92.88,90.81
0.18,60,1.5268,0.0116,0.0112,0.0121,1.914,2.023,2.033,2.152,1.939,2.063,2.058,2.192,1.964,2.103,2.083,2.232,69.66,68.11
0.18,75,1.9085,0.0093,0.0089,0.0097,2.139,2.261,2.272,2.405,2.164,2.301,2.297,2.445,2.189,2.341,2.322,2.485,55.73,54.49
0.18,90,2.2902,0.0078,0.0074,0.0081,0.344,2.477,2.489,2.635,2.369,2.517,2.514,2.675,2.394,2.557,2.539,2.715,46.44,45.41
0.18,100,2.5447,0.007,0.0067,0.0073,2.47,2.611,2.624,2.778,2.495,2.651,2.649,2.818,2.52,2.691,2.674,2.858,41.8,40.87
0.18,120,3.0536,0.0058,0.0056,0.0061,2.706,2.86,2.874,3.043,2.731,2.29,2.899,3.083,2.756,2.94,2.2924,3.123,34.83,34.06
0.18,150,3.817,0.0047,0.0045,0.0049,3.026,3.198,3.214,3.402,3.051,3.238,3.239,3.442,3.076,3.278,3.264,3.482,27.87,27.24
0.18,200,5.0894,0.0035,0.0034,0.0036,3.494,3.693,3.711,3.928,3.519,3.733,3.736,3.968,3.544,3.773,3.761,4.008,20.9,20.43
0.18,270,6.8707,0.0026,0.0025,0.0028,4.059,4.291,4.312,4.564,4.084,4.331,4.337,4.604,4.109,4.371,4.362,4.644,15.48,15.14
0.2,4,0.1257,0.1387,0.1335,0.1443,0.535,0.565,0.568,0.598,0.56,0.605,0.593,0.638,0.585,0.645,0.618,0.678,847.16,829.52
0.2,10,0.3142,0.0555,0.0534,0.0577,0.846,0.893,0.897,0.945,0.871,0.933,0.922,0.985,0.896,0.973,0.947,1.025,338.86,331.81
0.2,15,0.4712,0.037,0.0356,0.0385,1.044,1.103,1.108,1.166,1.069,1.143,1.133,1.206,1.094,1.183,1.158,1.246,225.91,221.2
0.2,20,0.6283,0.0277,0.0267,0.0289,1.215,1.284,1.289,1.357,1.24,1.324,1.314,1.397,1.265,1.364,1.339,1.437,169.43,165.9
0.2,25,0.7854,0.222,0.0214,0.0231,1.37,1.446,1.453,1.53,1.395,1.486,1.478,1.57,1.42,1.526,1.503,1.61,135.54,132.72
0.2,30,0.9425,0.0185,0.0178,0.0192,1.5,1.584,1.591,1.676,1.525,1.624,1.616,1.716,1.55,1.664,1.641,1.756,112.95,110.6
0.2,45,1.4137,0.0123,0.0119,0.0128,1.838,1.941,1.949,2.052,1.863,1.981,1.974,2.092,1.888,2.021,1.999,2.132,75.3,73.73
0.2,60,1.885,0.0094,0.0091,0.0098,2.122,2.241,2.251,2.37,2.147,2.281,2.276,2.41,2.172,2.321,2.301,2.45,56.48,55.3
0.2,75,2.3562,0.0075,0.0073,0.0078,2.372,2.505,2.516,2.649,2.397,2.545,2.541,2.689,2.422,2.585,2.566,2.729,45.18,44.24
0.2,90,2.8274,0.0063,0.0061,0.0065,2.599,2.744,2.756,2.902,2.624,2.784,2.781,2.942,2.649,2.824,2.806,2.982,37.65,36.87
0.2,100,3.1416,0.0057,0.0054,0.0059,2.739,2.893,2.906,3.059,2.764,2.933,2.931,3.099,2.789,2.973,2.956,3.139,33.89,33.18
0.2,120,3.7699,0.0047,0.0045,0.0049,3.001,3.169,3.183,3.351,3.026,3.209,3.208,3.391,3.051,3.249,3.233,3.431,28.24,27.65
0.2,150,4.7124,0.0038,0.0036,0.0039,3.355,3.543,3.559,3.747,3.38,3.583,3.584,3.787,3.405,3.623,3.609,3.827,22.59,22.12
0.2,200,6.2832,0.0028,0.0027,0.0029,3.874,4.091,4.109,4.326,3.899,4.131,4.134,4.366,3.924,4.171,4.159,4.406,16.94,16.59
0.25,2,0.0982,0.1776,0.1706,0.185,0.472,0.497,0.499,0.525,0.497,0.537,0.524,0.565,0.522,0.577,0.549,0.605,1085.74,1064.23
0.25,4,0.1963,0.0888,0.0853,0.0925,0.668,0.703,0.705,0.743,0.693,0.743,0.73,0.783,0.718,0.783,0.755,0.823,542.87,532.12
0.25,10,0.4909,0.0355,0.0341,0.037,1.055,1.111,1.115,1.174,1.08,1.151,1.14,1.214,1.105,1.191,1.165,1.254,217.15,212.85
0.25,15,0.7363,0.0237,0.0227,0.0247,1.303,1.371,1.376,1.449,1.328,1.411,1.401,1.489,1.353,1.451,1.426,1.529,144.76,141.9
0.25,20,0.9817,0.0178,0.0171,0.0185,1.516,1.596,1.602,1.687,1.541,1.636,1.627,1.727,1.566,1.676,1.652,1.767,108.57,106.42
0.25,30,1.4726,0.0118,0.0114,0.0123,1.872,1.97,1.977,2.082,1.897,2.01,2.002,2.122,1.922,2.05,2.027,2.162,72.38,70.95
0.25,45,2.2089,0.0079,0.0076,0.0082,2.293,2.413,2.421,2.55,2.318,2.453,2.446,2.59,2.343,2.493,2.471,2.63,48.25,47.3
0.25,60,2.9452,0.006,0.0058,0.0063,2.647,2.786,2.796,2.945,2.672,2.826,2.821,2.985,2.697,2.866,2.846,3.025,36.19,35.47
0.25,75,3.6816,0.0048,0.0046,0.005,2.96,3.115,3.126,3.292,2.985,3.155,3.151,3.332,3.01,3.195,3.176,3.372,28.95,28.38
0.25,90,4.4179,0.004,0.0039,0.0042,3.242,3.412,3.424,3.607,3.267,3.452,3.449,3.647,3.292,3.492,3.474,3.687,24.13,23.65
0.3,2,0.1414,0.1233,0.1191,0.1278,0.564,0.59,0.592,0.622,0.589,0.63,0.617,0.662,0.614,0.67,0.642,0.702,755.81,742.2
0.3,10,0.7069,0.0247,0.0238,0.0256,1.261,1.32,1.324,1.391,1.286,1.36,1.349,1.431,1.311,1.4,1.374,1.471,151.16,148.44
0.3,15,1.0603,0.0164,0.0159,0.017,1.1557,1.63,1.635,1.718,1.582,1.67,1.66,1.758,1.607,1.71,1.685,1.798,100.78,98.96
0.3,20,1.4137,0.0123,0.0119,0.0128,1.812,1.897,1.903,1.999,1.837,1.937,1.928,2.039,1.862,1.977,1.953,2.079,75.58,74.22
0.3,30,2.1206,0.0082,0.0079,0.0085,2.236,2.342,2.349,2.468,2.261,2.382,2.374,2.508,2.286,2.422,2.399,2.548,50.39,49.48
0.3,45,3.1809,0.0055,0.0053,0.0057,2.739,2.868,2.876,3.022,2.764,2.908,2.901,3.062,2.789,2.948,2.926,3.102,33.59,32.99
0.3,60,4.2412,0.0042,0.004,0.0043,3.163,3.312,3.321,3.49,3.188,3.352,3.346,3.53,3.213,3.392,3.371,3.57,25.19,24.74
0.3,75,5.3014,0.0034,0.0032,0.0035,3.536,3.702,3.714,3.902,3.561,3.742,3.739,3.942,3.586,3.782,3.764,3.982,20.16,19.79
0.3,90,6.3617,0.0028,0.0027,0.0029,3.874,4.056,4.068,4.274,3.899,4.096,4.093,4.314,3.924,4.136,4.118,4.354,16.8,16.49
0.355,4,0.3959,0.044,0.0427,0.0454,0.938,0.98,0.983,1.028,0.963,1.02,1.008,1.068,0.988,1.06,1.033,1.108,270.56,266.11
0.355,6,0.5939,0.0294,0.0285,0.0303,1.148,1.2,1.203,1.258,1.173,1.24,1.228,1.298,1.198,1.28,1.253,1.338,180.38,177.4
0.355,10,0.9898,0.0176,0.0171,0.0182,1.482,1.55,1.553,1.625,1.507,1.59,1.578,1.665,1.532,1.63,1.603,1.705,108.23,106.44
0.355,15,1.4847,0.0117,0.0114,0.0121,1.83,1.913,1.918,2.006,1.855,1.953,1.943,2.046,1.88,1.993,1.968,2.086,72.15,70.96
0.355,20,1.9796,0.0088,0.0085,0.0091,2.13,2.226,2.232,2.334,2.155,2.266,2.257,2.374,2.18,2.306,2.282,2.414,54.11,53.22
0.355,30,2.9694,0.0059,0.0057,0.0061,2.629,2.748,2.755,2.881,2.654,2.788,2.78,2.921,2.679,2.828,2.805,2.961,36.08,35.48
0.355,45,4.4541,0.0039,0.0038,0.004,3.22,3.366,3.374,3.529,3.245,3.406,3.399,3.569,3.27,3.446,3.424,3.609,24.05,23.65
0.355,60,5.9388,0.003,0.0029,0.0031,3.718,3.887,3.897,4.075,3.743,3.927,3.922,4.115,3.768,3.967,3.947,4.155,18.04,17.74
0.4,4,0.5027,0.0347,0.0336,0.0359,1.053,1.098,1.1,1.148,1.078,1.138,1.125,1.188,1.103,1.178,1.15,1.228,213.47,210.19
0.4,6,0.754,0.0231,0.0224,0.0239,1.289,1.344,1.347,1.405,1.314,1.384,1.372,1.445,1.339,1.424,1.397,1.485,142.31,140.12
0.4,10,1.2566,0.0139,0.0134,0.0144,1.664,1.735,1.739,1.814,1.689,1.775,1.764,1.854,1.714,1.815,1.789,1.894,85.39,84.07
0.4,15,1.885,0.0092,0.0089,0.0096,2.054,2.142,2.147,2.24,2.079,2.182,2.172,2.28,2.104,2.222,2.197,2.23,56.92,56.05
0.4,20,2.5133,0.0069,0.0067,0.0072,2.391,2.493,2.499,2.607,2.416,2.533,2.524,2.647,2.441,2.573,2.549,2.687,42.69,42.04
0.4,30,3.7699,0.0046,0.0045,0.0048,2.952,3.078,3.085,3.218,2.977,3.118,3.11,3.258,3.002,3.158,3.135,3.298,28.46,28.02
0.4,35,4.3982,0.004,0.0038,0.0041,3.188,3.324,3.332,3.476,3.213,3.364,3.357,3.516,3.238,3.404,3.382,3.556,24.4,24.02
0.5,4,0.7854,0.0222,0.0216,0.0228,1.31,1.36,1.363,1.415,1.335,1.4,1.388,1.455,1.36,1.44,1.413,1.495,136.92,135.07
0.5,6,1.1781,0.0148,0.0144,0.0152,1.604,1.666,1.669,1.733,1.629,1.706,1.694,1.773,1.654,1.746,1.719,1.813,91.28,90.05
0.5,10,1.9635,0.0089,0.0086,0.0091,2.071,2.15,2.154,2.237,2.096,2.19,2.179,2.277,2.121,2.23,2.204,2.317,54.77,54.03
0.5,15,2.9452,0.0059,0.0058,0.0061,2.557,2.655,2.66,2.762,2.582,2.695,2.685,2.802,2.607,2.735,2.71,2.842,36.51,36
0.5,20,3.927,0.0044,0.0043,0.0046,2.976,3.09,3.095,3.215,3.001,3.13,3.12,3.255,3.026,3.17,3.145,3.295,27.38,27.01
0.5,30,5.8905,0.003,0.0029,0.003,3.674,3.814,3.821,3.968,3.699,3.854,3.846,4.008,3.724,3.894,3.871,4.048,18.26,18.01
0.5,35,6.8722,0.0025,0.0025,0.0026,3.968,4.119,4.127,4.286,3.993,4.159,4.152,4.326,4.018,4.199,4.177,4.366,15.65,15.44
,,,,,,,,,,,,,,,,,,,
